date;heure;dept;ville;CP;adresse;adresse complete;carr;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh;wgs84
2012-03-15;09:20;75;Paris;75016;AVENUE DE LA GRANDE ARME;AVENUE DE LA GRANDE ARMEE;1_75116_2004;AVENUE DE LA GRANDE ARMEE;PLACE CHARLES DE GAULLE;Moto>125;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.87448, 2.292313
2012-11-27;08:00;75;Paris;75016;AVENUE DE LA PORTE D AUT;AVENUE DE LA PORTE D AUTEUIL;1_75116_111;AVENUE DE LA PORTE D AUTEUIL;AVENUE GORDON BENNETT;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.848001, 2.249991
2012-01-01;22:00;75;Paris;75016;AVENUE DE LA PORTE DE SA;AVENUE DE LA PORTE DE SAINT CLOUD;;AVENUE DE LA PORTE DE SAINT CLOUD;;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.838325, 2.255179
2012-08-30;10:50;75;Paris;75016;AVENUE DE NEW YORK;SOUTERRAIN VARSOVIE;;SOUTERRAIN VARSOVIE;;Scoo>125;A;VU;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.86363, 2.27642
2012-06-17;12:30;75;Paris;75016;AVENUE DE NEW YORK;AVENUE DE NEW YORK;1_75116_1607;AVENUE DE NEW YORK;VOIE GEORGES POMPIDOU;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.862328, 2.293539
2013-09-28;09:10;75;Paris;75016;AVENUE DE SAINT CLOUD;AVENUE DE SAINT CLOUD;;AVENUE DE SAINT CLOUD;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.853489, 2.248953
2013-02-12;18:30;75;Paris;75016;AVENUE DES NATIONS UNIES;AVENUE DES NATIONS UNIES;1_75116_1751;AVENUE DES NATIONS UNIES;PLACE DE VARSOVIE;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.860574, 2.291048
2013-03-02;10:25;75;Paris;75016;AVENUE DU PRESIDENT KENN;AVENUE DU PRESIDENT KENNEDY;1_75116_1158;AVENUE DU PRESIDENT KENNEDY;VOIE GEORGES POMPIDOU;VU;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.854452, 2.283472
2013-02-09;19:15;75;Paris;75016;AVENUE DU PRESIDENT KENN;AVENUE DU PRESIDENT KENNEDY;;AVENUE DU PRESIDENT KENNEDY;;Bicy;A;;;;;Cond;BL;A;;;;;;;;;;48.854452, 2.283472
2013-07-21;16:15;75;Paris;75016;AVENUE DU PRESIDENT WILS;AVENUE DU PRESIDENT WILSON;1_75116_2471;AVENUE DU PRESIDENT WILSON;RUE DES FRERES PERIER;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.864884, 2.297604
2012-11-09;12:30;75;Paris;75016;AVENUE GEORGES MANDEL;AVENUE GEORGES MANDEL;1_75116_1259;AVENUE GEORGES MANDEL;RUE DES SABLONS;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.863468, 2.281862
2013-10-21;18:30;75;Paris;75016;AVENUE PRUDHON;AVENUE PRUDHON;;AVENUE PRUDHON;;VL;A;;;;;Piéton;BL;A;Cond;Indem;A;;;;;;;48.859051, 2.269284
2012-11-23;17:55;75;Paris;75016;ECHANGEUR AUTEUIL;ECH AUTEUIL-BT/16;;ECH AUTEUIL-BT/16;;Scoo>125;A;Moto>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.86363, 2.27642
